	wait4_time	wait4_seconds	wait4_usecs/call	wait4_calls	wait4_errors	stat_time	stat_seconds	stat_usecs/call	stat_calls	stat_errors	fstat_time	fstat_seconds	fstat_usecs/call	fstat_calls	fstat_errors	read_time	read_seconds	read_usecs/call	read_calls	read_errors	write_time	write_seconds	write_usecs/call	write_calls	write_errors	open_time	open_seconds	open_usecs/call	open_calls	open_errors	close_time	close_seconds	close_usecs/call	close_calls	close_errors	lstat_time	lstat_seconds	lstat_usecs/call	lstat_calls	lstat_errors	lseek_time	lseek_seconds	lseek_usecs/call	lseek_calls	lseek_errors	mmap_time	mmap_seconds	mmap_usecs/call	mmap_calls	mmap_errors	mprotect_time	mprotect_seconds	mprotect_usecs/call	mprotect_calls	mprotect_errors	munmap_time	munmap_seconds	munmap_usecs/call	munmap_calls	munmap_errors	brk_time	brk_seconds	brk_usecs/call	brk_calls	brk_errors	rt_sigaction_time	rt_sigaction_seconds	rt_sigaction_usecs/call	rt_sigaction_calls	rt_sigaction_errors	rt_sigprocmask_time	rt_sigprocmask_seconds	rt_sigprocmask_usecs/call	rt_sigprocmask_calls	rt_sigprocmask_errors	ioctl_time	ioctl_seconds	ioctl_usecs/call	ioctl_calls	ioctl_errors	access_time	access_seconds	access_usecs/call	access_calls	access_errors	dup_time	dup_seconds	dup_usecs/call	dup_calls	dup_errors	socket_time	socket_seconds	socket_usecs/call	socket_calls	socket_errors	bind_time	bind_seconds	bind_usecs/call	bind_calls	bind_errors	clone_time	clone_seconds	clone_usecs/call	clone_calls	clone_errors	execve_time	execve_seconds	execve_usecs/call	execve_calls	execve_errors	uname_time	uname_seconds	uname_usecs/call	uname_calls	uname_errors	fcntl_time	fcntl_seconds	fcntl_usecs/call	fcntl_calls	fcntl_errors	getdents_time	getdents_seconds	getdents_usecs/call	getdents_calls	getdents_errors	chdir_time	chdir_seconds	chdir_usecs/call	chdir_calls	chdir_errors	readlink_time	readlink_seconds	readlink_usecs/call	readlink_calls	readlink_errors	getrlimit_time	getrlimit_seconds	getrlimit_usecs/call	getrlimit_calls	getrlimit_errors	getuid_time	getuid_seconds	getuid_usecs/call	getuid_calls	getuid_errors	getgid_time	getgid_seconds	getgid_usecs/call	getgid_calls	getgid_errors	geteuid_time	geteuid_seconds	geteuid_usecs/call	geteuid_calls	geteuid_errors	getegid_time	getegid_seconds	getegid_usecs/call	getegid_calls	getegid_errors	sigaltstack_time	sigaltstack_seconds	sigaltstack_usecs/call	sigaltstack_calls	sigaltstack_errors	statfs_time	statfs_seconds	statfs_usecs/call	statfs_calls	statfs_errors	arch_prctl_time	arch_prctl_seconds	arch_prctl_usecs/call	arch_prctl_calls	arch_prctl_errors	futex_time	futex_seconds	futex_usecs/call	futex_calls	futex_errors	set_tid_address_time	set_tid_address_seconds	set_tid_address_usecs/call	set_tid_address_calls	set_tid_address_errors	openat_time	openat_seconds	openat_usecs/call	openat_calls	openat_errors	set_robust_list_time	set_robust_list_seconds	set_robust_list_usecs/call	set_robust_list_calls	set_robust_list_errors	pipe2_time	pipe2_seconds	pipe2_usecs/call	pipe2_calls	pipe2_errors
hello-world-ruby	57.14	0.000016	4	4	0	25.00	0.000007	0	1944	385	17.86	0.000005	0	873	0	0.00	0.000000	0	957	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	227	0	0.00	0.000000	0	83	0	0.00	0.000000	0	70	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-python	100.00	0.000018	5	4	0	0.00	0.000000	0	1944	385	0.00	0.000000	0	873	0	0.00	0.000000	0	958	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	230	0	0.00	0.000000	0	83	0	0.00	0.000000	0	73	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-cat	0.00	0.000000	0	4	0	0.00	0.000000	0	1944	385	0.00	0.000000	0	873	0	0.00	0.000000	0	957	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	231	0	0.00	0.000000	0	83	0	0.00	0.000000	0	74	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	100.00	0.000708	177	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-clisp	100.00	0.000015	4	4	0	0.00	0.000000	0	1944	385	0.00	0.000000	0	873	0	0.00	0.000000	0	958	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	240	0	0.00	0.000000	0	83	0	0.00	0.000000	0	83	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-zsh	42.42	0.000014	4	4	0	0.00	0.000000	0	1944	385	0.00	0.000000	0	873	0	24.24	0.000008	0	953	0	0.00	0.000000	0	1	0	33.33	0.000011	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	229	0	0.00	0.000000	0	83	0	0.00	0.000000	0	72	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-cpp	100.00	0.000015	4	4	0	0.00	0.000000	0	1944	385	0.00	0.000000	0	873	0	0.00	0.000000	0	958	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	219	0	0.00	0.000000	0	83	0	0.00	0.000000	0	62	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-csh	1.95	0.000018	5	4	0	0.00	0.000000	0	1944	385	0.00	0.000000	0	873	0	0.00	0.000000	0	956	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	220	0	0.00	0.000000	0	83	0	0.00	0.000000	0	63	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	98.05	0.000903	226	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-c	0.00	0.000000	0	4	0	2.85	0.000009	0	1944	385	0.00	0.000000	0	873	0	1.90	0.000006	0	955	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	228	0	0.00	0.000000	0	83	0	0.00	0.000000	0	71	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	95.25	0.000301	75	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-go	0.00	0.000000	0	4	0	0.00	0.000000	0	1944	384	0.00	0.000000	0	874	0	0.00	0.000000	0	960	0	0.00	0.000000	0	1	0	100.00	0.000010	0	526	42	0.00	0.000000	0	592	0	0.00	0.000000	0	65	1	0.00	0.000000	0	543	15	0.00	0.000000	0	229	0	0.00	0.000000	0	83	0	0.00	0.000000	0	72	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	144	130	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
hello-world-awk	70.37	0.000019	5	4	0	29.63	0.000008	0	1944	385	0.00	0.000000	0	873	0	0.00	0.000000	0	958	0	0.00	0.000000	0	1	0	0.00	0.000000	0	525	42	0.00	0.000000	0	591	0	0.00	0.000000	0	65	1	0.00	0.000000	0	541	15	0.00	0.000000	0	231	0	0.00	0.000000	0	83	0	0.00	0.000000	0	74	0	0.00	0.000000	0	50	0	0.00	0.000000	0	68	0	0.00	0.000000	0	1	0	0.00	0.000000	0	142	128	0.00	0.000000	0	10	9	0.00	0.000000	0	3	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	1	0	0.00	0.000000	0	4	0	0.00	0.000000	0	3	0	0.00	0.000000	0	178	0	0.00	0.000000	0	1	0	0.00	0.000000	0	5	2	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	1	0	0.00	0.000000	0	3	0	0.00	0.000000	0	1	1	0.00	0.000000	0	1	0	0.00	0.000000	0	2	0	0.00	0.000000	0	1	0	0.00	0.000000	0	89	0	0.00	0.000000	0	1	0	0.00	0.000000	0	8	0
